"gene_id","gene_name","n_targets","best_target","delta_corr","pseudotime_target","n_NORMAL","n_PRIMARY","n_MET","iso_up_id","iso_up_name","iso_down_id","iso_down_name","iso_up_corr","iso_down_corr"
"ENSG00000198912.12","C1orf174",1,"HALLMARK_PROTEIN_SECRETION",1.13462344186605,FALSE,0,0,0,"ENST00000361605.4","C1orf174-201","ENST00000680169.1","C1orf174-208",0.611492579178133,-0.523130862687919
"ENSG00000204217.16","BMPR2",1,"HALLMARK_MITOTIC_SPINDLE",1.02111404839814,FALSE,0,1,0,"ENST00000374580.10","BMPR2-202","ENST00000374574.2","BMPR2-201",0.513375532575825,-0.507738515822311
"ENSG00000204580.14","DDR1",1,"PID_MET_PATHWAY",1.02525011499106,FALSE,0,1,0,"ENST00000452441.5","DDR1-239","ENST00000446312.5","DDR1-238",0.524962515505847,-0.500287599485218
"ENSG00000204713.11","TRIM27",1,"HALLMARK_PROTEIN_SECRETION",1.07226839409275,FALSE,1,1,0,"ENST00000377199.4","TRIM27-202","ENST00000414543.5","TRIM27-203",0.55931858169181,-0.512949812400939
"ENSG00000205090.9","TMEM240",1,"MEL18_DN.V1_DN",1.01528842693496,FALSE,0,0,0,"ENST00000425828.1","TMEM240-202","ENST00000624426.1","TMEM240-203",0.501095865887338,-0.514192561047627
"ENSG00000205213.14","LGR4",1,"TBK1.DF_DN",1.02909664050539,FALSE,0,1,0,"ENST00000379214.9","LGR4-201","ENST00000389858.4","LGR4-202",0.519778679753033,-0.509317960752356
"ENSG00000205937.12","RNPS1",1,"TBK1.DF_DN",1.14823379011244,FALSE,0,1,0,"ENST00000320225.10","RNPS1-202","ENST00000566397.5","RNPS1-219",0.586789979552573,-0.56144381055987
"ENSG00000206053.13","JPT2",1,"VEGF_A_UP.V1_DN",1.07273925538973,FALSE,1,1,0,"ENST00000562684.5","JPT2-206","ENST00000248098.8","JPT2-201",0.533222714557557,-0.539516540832177
"ENSG00000214087.9","ARL16",1,"PID_PI3KCI_AKT_PATHWAY",1.01232504858834,FALSE,0,1,0,"ENST00000622299.5","ARL16-213","ENST00000573392.5","ARL16-206",0.510540355061973,-0.501784693526366
"ENSG00000227500.10","SCAMP4",1,"PID_ERBB1_INTERNALIZATION_PATHWAY",1.03396685758277,FALSE,0,1,0,"ENST00000316097.13","SCAMP4-201","ENST00000409472.5","SCAMP4-202",0.53384361948989,-0.500123238092876
"ENSG00000233822.6","H2BC15",1,"AKT_UP_MTOR_DN.V1_DN",1.01601191403741,FALSE,0,0,0,"ENST00000606613.1","H2BC15-202","ENST00000612898.2","H2BC15-203",0.505904074523228,-0.510107839514182
"ENSG00000240184.7","PCDHGC3",1,"PID_SMAD2_3PATHWAY",1.09537825559597,FALSE,1,1,0,"ENST00000308177.5","PCDHGC3-201","ENST00000617641.4","PCDHGC3-205",0.535743856718346,-0.559634398877628
"ENSG00000244462.8","RBM12",1,"SRC_UP.V1_UP",1.22408068154932,FALSE,0,1,0,"ENST00000374114.8","RBM12-203","ENST00000424458.5","RBM12-204",0.504349635819976,-0.719731045729344
"ENSG00000257591.6","ZNF625",1,"TBK1.DF_DN",1.1454690322586,FALSE,0,1,1,"ENST00000439556.3","ZNF625-202","ENST00000414892.5","ZNF625-201",0.559846375135346,-0.585622657123258
"ENSG00000266338.7","NBPF15",1,"PID_P75_NTR_PATHWAY",1.02672941988138,FALSE,0,0,0,"ENST00000614785.5","NBPF15-207","ENST00000581897.7","NBPF15-205",0.524797408265146,-0.501932011616239
"ENSG00000270629.7","NBPF14",1,"EIF4E_UP",1.08683350932872,FALSE,0,0,1,"ENST00000614999.4","NBPF14-203","ENST00000619423.4","NBPF14-205",0.523368581899422,-0.563464927429301
