"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000203618.6",17.4561189292251,-26.1127782111763,1.94319084762985,-13.4380924256753,3.61639276417538e-41,9.78886684702978e-39,"GP1BB"
"ENSG00000255949.1",17.4113281621678,-11.2867930275772,1.28605526783671,-8.77628925432021,1.68956933336726e-18,2.33849933668375e-17,"RPS6KB2-AS1"
"ENSG00000288681.1",60.6516837634317,-9.48645232242379,1.28843543060653,-7.36276890333423,1.80134069004561e-13,1.35908049304131e-12,"ENSG00000288681"
"ENSG00000280416.1",65.0890771443224,-9.21448700302288,0.659760067939612,-13.9664212049073,2.49870759823987e-44,1.02509479217791e-41,"ENSG00000280416"
"ENSG00000279528.1",78.1994106560257,-8.93277947189643,0.613934591920313,-14.5500507537061,5.83597360228197e-48,3.73730055857355e-45,"ENSG00000279528"
"ENSG00000235426.2",30.6942326223941,-8.41778712728474,0.886049978867099,-9.50035249484199,2.09181005745606e-21,4.08954317710843e-20,"ENSG00000235426"
"ENSG00000222328.1",161.6095371925,-8.3672257501075,1.26441276262306,-6.61747966917816,3.6537444756002e-11,2.09368648955388e-10,"RNU2-2P"
"ENSG00000269292.1",10.3014817273468,-7.93407429901479,1.07939512839018,-7.3504818488923,1.97493599266446e-13,1.48578565683089e-12,"ENSG00000269292"
"ENSG00000262791.1",13.5257849906168,-7.64766048718396,0.997599198167195,-7.66606519054382,1.77353074158013e-14,1.50552289527733e-13,"ENSG00000262791"
"ENSG00000236883.1",37.5247710496085,-7.33618747036846,0.761888661563393,-9.6289495309126,6.03431840922724e-22,1.26547175840791e-20,"ENSG00000236883"
"ENSG00000243150.6",13.7600412431396,-7.31814791266832,0.787477653478411,-9.29314994570694,1.4978839045037e-20,2.63595440996309e-19,"ENSG00000243150"
"ENSG00000206585.1",96.7556810586239,-7.11886157277182,1.50866828238636,-4.7186393827485,2.37427268581508e-06,7.30476958504344e-06,"RNVU1-7"
"ENSG00000242375.1",62.9778323997297,-6.99243381312053,0.417260437584485,-16.7579602168843,4.9532854423372e-63,2.60106925148011e-59,"ENSG00000242375"
"ENSG00000256813.1",19.5575312175423,-6.89041679622339,1.07240833945734,-6.42518016943999,1.31713419706045e-10,7.05768887306514e-10,"ENSG00000256813"
"ENSG00000273768.1",26.1887391197206,-6.7673609394214,1.41096908388919,-4.79625033368406,1.61663228417528e-06,5.09620569735936e-06,"RNVU1-29"
"ENSG00000212232.1",160.060080525925,-6.34222183688505,0.493665245324009,-12.8472115405297,8.91667939279495e-38,1.44736065661762e-35,"SNORD17"
"ENSG00000274226.6",5.05860305651666,-6.05537391751526,2.29112071240702,-2.64297463015537,0.00821811927453073,0.014298253241805,"TBC1D3H"
"ENSG00000259627.1",35.9791361561286,-5.94306098547293,0.780227266654718,-7.61708958333928,2.59459273804754e-14,2.15785957966982e-13,"ENSG00000259627"
"ENSG00000272600.1",10.6402216132911,-5.92543956048607,1.24780125018193,-4.74870461912276,2.04723690691682e-06,6.36046056419454e-06,"ENSG00000272600"
"ENSG00000263218.2",24.77580700396,-5.83111702651438,0.414494833096907,-14.0680089615281,5.9727405211204e-45,2.70379784694029e-42,"ENSG00000263218"
"ENSG00000258092.1",18.4484869096184,-5.80153359541808,0.747511148391981,-7.76113320570286,8.41738499803135e-15,7.45888830605167e-14,"ENSG00000258092"
"ENSG00000268083.5",664.866849887226,-5.72345685401763,0.412484039996591,-13.8755837778958,8.90649910669008e-44,3.43895647860669e-41,"ENSG00000268083"
"ENSG00000226143.1",5.35397359789361,-5.67908916639983,0.734313627247217,-7.73387413180593,1.04322180731511e-14,9.11811976460234e-14,"ENSG00000226143"
"ENSG00000281000.1",92.5420790350983,-5.62002465604191,0.615673475518717,-9.1282552838693,6.96120697336286e-20,1.13312740416997e-18,"SNORD3D"
"ENSG00000268854.1",96.0776077425704,-5.60016797896108,0.75750684633843,-7.39289421083213,1.43666778785411e-13,1.09558958576525e-12,"ENSG00000268854"
"ENSG00000158874.11",4.41810298903073,-5.57422424314422,1.55216954047071,-3.5912470241194,0.000329099522884243,0.000730911611643434,"APOA2"
"ENSG00000273211.1",9.4830102604164,-5.56117403373117,1.19883994203672,-4.63879608839463,3.50444602112244e-06,1.05109361127017e-05,"ENSG00000273211"
"ENSG00000288931.1",158.961348449768,-5.48921349274702,0.622016480733381,-8.82486825152129,1.09588746901029e-18,1.55197526355633e-17,"ENSG00000288931"
"ENSG00000259792.1",60.7720005537993,-5.47911726595284,0.568432660718905,-9.63899093873902,5.47232367765122e-22,1.15406691148924e-20,"ENSG00000259792"
"ENSG00000224645.1",3.73246984766266,-5.43195180893793,1.17576497972616,-4.61992992018102,3.83869680038354e-06,1.14441720439276e-05,"ENSG00000224645"
"ENSG00000283293.1",2497.30126681556,-5.36231855413538,0.516984940566647,-10.3722915956855,3.31478640873762e-25,1.06658127387028e-23,"RN7SK"
"ENSG00000205176.3",5.08258627675757,-5.35608404477318,0.698135900426777,-7.67197911108561,1.69362539159895e-14,1.44002034591393e-13,"REXO1L1P"
"ENSG00000249971.1",149.403513034716,-5.35140262436055,0.57792067555672,-9.25975285311512,2.04905949104149e-20,3.55116211199904e-19,"ENSG00000249971"
"ENSG00000269145.2",84.7957063070665,-5.28896913268088,0.551766756742074,-9.58551610450362,9.1996535173804e-22,1.88560579822279e-20,"MAST3-AS1"
"ENSG00000272418.1",71.2419617104806,-5.20026828663887,0.553388346312694,-9.3971409432255,5.6065801459183e-21,1.03520652820837e-19,"ENSG00000272418"
