"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSG00000206047.3",334.331787350506,-9.36955407448351,0.516608029483344,-18.1366791450259,1.63624103804244e-73,1.54882842956715e-71,"DEFA1"
"ENSG00000152595.17",194.139005376966,-8.95644253318184,0.472656099624079,-18.9491737022017,4.48571511178719e-80,5.83101621535912e-78,"MEPE"
"ENSG00000273768.1",158.058098683465,-8.80173882771699,0.691586441550442,-12.7268817011286,4.1925133808081e-37,5.36580841405784e-36,"RNVU1-29"
"ENSG00000240247.8",1769.23604303337,-8.54476977858172,0.419770500711239,-20.355812912303,4.12354013087471e-92,9.77452269005999e-90,"DEFA1B"
"ENSG00000207389.1",145.150758296757,-8.37850780493091,0.664430163525711,-12.6100653836537,1.85838780472109e-36,2.28714673628152e-35,"RNU1-4"
"ENSG00000207513.1",53.8825217780909,-8.37204331959023,0.800657864617382,-10.4564554843798,1.36880767101848e-25,9.01501909504768e-25,"RNU1-3"
"ENSG00000167798.18",46.6545723582348,-8.25961677787496,0.568265946428252,-14.5347734274586,7.29545177425996e-48,1.66901949430921e-46,"C3P1"
"ENSG00000029559.7",650.522956274135,-8.02987670945762,0.386418370955114,-20.780266449574,6.52952619873691e-96,1.75414166679972e-93,"IBSP"
"ENSG00000239839.7",567.837185686992,-8.01822681274368,0.400939874991622,-19.9985766267604,5.66667404480479e-89,1.16675577705003e-86,"DEFA3"
"ENSG00000206177.7",72.9040194652236,-7.97015900419526,0.377926479500512,-21.0891785479786,9.99825881725355e-99,3.16888634513582e-96,"HBM"
"ENSG00000164821.5",75.251298295676,-7.89824431473594,0.40701722749011,-19.4051843049514,6.97679076111847e-84,1.09944868038899e-81,"DEFA4"
"ENSG00000110245.12",382.07402335493,-7.83435156162845,0.441298233655459,-17.7529637876255,1.63493480359019e-70,1.34848657718339e-68,"APOC3"
