"gene_id","gene_name","target","iso_up","iso_down","corr_iso_up","corr_iso_down","valid"
"ENSG00000154370.16","TRIM11","PTEN_DN.V2_UP","ENST00000284551.11","ENST00000493030.6",0.252176805299536,-0.26290462069267,FALSE
"ENSG00000154370.16","TRIM11","RAPA_EARLY_UP.V1_UP","ENST00000284551.11","ENST00000493030.6",0.413519650643506,-0.393813311206765,FALSE
"ENSG00000154370.16","TRIM11","CSR_LATE_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.271901200792416,-0.307910798135039,FALSE
"ENSG00000154370.16","TRIM11","KRAS.300_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.23561694633588,-0.31920624540821,FALSE
"ENSG00000154370.16","TRIM11","SIRNA_EIF4GI_UP","ENST00000284551.11","ENST00000493030.6",0.631816573554592,-0.625564675381201,TRUE
"ENSG00000154370.16","TRIM11","IL21_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.0971301471749103,-0.0945230919228916,FALSE
"ENSG00000154370.16","TRIM11","ATF2_S_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.253770167229954,-0.232172009624956,FALSE
"ENSG00000154370.16","TRIM11","ESC_J1_UP_EARLY.V1_UP","ENST00000284551.11","ENST00000493030.6",0.576232670121405,-0.527431939335672,TRUE
"ENSG00000154370.16","TRIM11","JAK2_DN.V1_DN","ENST00000493030.6","ENST00000284551.11",0.805857802820805,-0.822658398994652,TRUE
"ENSG00000154370.16","TRIM11","KRAS.DF.V1_DN","ENST00000284551.11","ENST00000493030.6",0.135876372474359,-0.161918115571896,FALSE
"ENSG00000154370.16","TRIM11","PID_LYSOPHOSPHOLIPID_PATHWAY","ENST00000284551.11","ENST00000493030.6",-0.214434077961574,0.197755425672785,FALSE
"ENSG00000154370.16","TRIM11","AKT_UP_MTOR_DN.V1_DN","ENST00000284551.11","ENST00000493030.6",0.552716118277759,-0.549290250748872,TRUE
"ENSG00000154370.16","TRIM11","RAPA_EARLY_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.501358843455814,-0.566944806737512,TRUE
"ENSG00000154370.16","TRIM11","VEGF_A_UP.V1_UP","ENST00000284551.11","ENST00000493030.6",0.0278645995527538,-0.105062854175653,FALSE
"ENSG00000154370.16","TRIM11","GCNP_SHH_UP_LATE.V1_DN","ENST00000284551.11","ENST00000493030.6",0.398099993127806,-0.432707934516269,FALSE
"ENSG00000154370.16","TRIM11","MEK_UP.V1_UP","ENST00000284551.11","ENST00000493030.6",0.113045149690823,-0.169018149607912,FALSE
"ENSG00000154370.16","TRIM11","CYCLIN_D1_UP.V1_UP","ENST00000284551.11","ENST00000493030.6",0.341614605669399,-0.450637124622937,FALSE
"ENSG00000154370.16","TRIM11","HALLMARK_ESTROGEN_RESPONSE_EARLY","ENST00000284551.11","ENST00000493030.6",0.284503534062515,-0.269304630706435,FALSE
"ENSG00000154370.16","TRIM11","KRAS.50_UP.V1_DN","ENST00000284551.11","ENST00000493030.6",0.329802819674802,-0.371206221858725,FALSE
