"sample","cohort","pseudotime","ERF","ERF-201","ERF-202","ERF-203"
"VCAP_PROSTATE","CellLine",178.362407571069,5.35676242798042,4.272903773734,4.37142141295405,1.20999510840814
"PC3_PROSTATE","CellLine",208.237202370793,4.82468494469181,3.8702960832332,3.84608277677416,0.0524141042298612
"DU145_PROSTATE","CellLine",210.655667345559,5.44919986658139,4.48175474027191,4.40986915526592,0.154687541675037
"LNCAPCLONEFGC_PROSTATE","CellLine",183.709730397078,4.75307960713911,3.77757153097173,3.74250732684175,0.38716502830062
"MDAPCA2B_PROSTATE","CellLine",177.70935548652,5.09882745363044,4.11453455384298,4.11008090410107,0.522375976921888
"NCIH660_PROSTATE","CellLine",208.326663622783,5.06297487540575,3.9989980489385,4.11284876818271,0.325202376710378
"22RV1_PROSTATE","CellLine",191.509613663745,5.35223168577436,4.24510469528317,4.44292956774639,0.648861222978252
"LnCaP_ABL","CellLine",193.234881721532,6.07735929795142,5.97779905903358,0.583412168231755,0.683008432134713
"LnCaP_DB","CellLine",185.01518006313,5.14159259708389,5.07281270384659,0,1.06184384763315
"LnCaP_DKO","CellLine",186.334255894414,5.17679770256137,5.11078161482053,0.224366102983434,0.990521269638159
"LnCaP_Nelson","CellLine",182.883913545883,4.94480551540987,4.87114212871541,0,1.06074956346236
"LnCaP_P53","CellLine",181.158887657005,4.92086913528619,4.7955999202697,0.801737200338995,1.30168645653451
"ERR922709","LTL_longitudinal",171.745224759833,4.13374873343578,3.74651761816808,1.86885397286225,0
"ERR922710","LTL_longitudinal",170.80724325928,4.96167966560043,4.48450419554071,3.08697830614155,0.541093315380801
"ERR922711","LTL_longitudinal",179.813934618916,4.85453036925681,4.17062798525942,3.2342753603742,1.072557732528
"ERR922712","LTL_longitudinal",186.753255236864,5.17965011402877,4.59382215127467,3.42991427162097,0.876955182554283
"ERR922713","LTL_longitudinal",210.620313603823,7.37134595759486,6.8888098635616,5.3025423526809,0.702457798628875
"ERR922714","LTL_longitudinal",209.469952099865,7.11414230186782,6.57477437109482,5.18717864447402,1.06234397638794
"LUCAP_147-Xeno_rep1","PDX_longitudinal",186.740777923334,5.19209707815809,5.19209707815809,0,0
"LUCAP_147-Xeno_rep2","PDX_longitudinal",184.392798826882,5.67349545206666,5.53876698303727,0,2.2094938841411
"LUCAP_147-Xeno_rep3","PDX_longitudinal",187.215523999022,4.50787376584107,4.50548864394298,0,0
"LNCaP-Xeno_rep1","PDX_longitudinal",181.158887657005,3.81663753749186,3.61041130811916,0,1.31648087075454
"LNCaP-Xeno_rep2","PDX_longitudinal",180.52016548913,4.4005148003552,4.28983787873645,0,1.01663235551193
"LNCaP-Xeno_rep3","PDX_longitudinal",182.067502753972,4.45536934022539,4.35114696006047,0,1.05490577202338
"LNCaP-ABL-Xeno_rep1","PDX_longitudinal",191.358740730899,6.0427932963286,5.8339585648207,0,2.69126601877881
"LNCaP-ABL-Xeno_rep2","PDX_longitudinal",193.269547074368,5.7542310342488,5.7152322087954,0,0
"LNCaP-ABL-Xeno_rep3","PDX_longitudinal",191.24627184399,5.80265109189495,5.52014585665998,0,3.06584323203571
"LnCaP_DKO_CX_R1","PDX_longitudinal",184.708539734275,3.82741384699455,3.75470025845928,0,0
"LnCaP_DKO_CX_R2","PDX_longitudinal",184.609081613674,3.71684250080561,3.64333199046132,0,0
"LnCaP_DKO_CX_R3","PDX_longitudinal",184.613002719524,4.06741052033113,3.83157011736184,0,0.990341808029595
"LnCaP_DKO_Enza_R1","PDX_longitudinal",186.334255894414,3.77569591475252,3.61275031548741,0,0.83182619404243
"LnCaP_DKO_Enza_R2","PDX_longitudinal",186.479449441727,4.0958342990485,3.98038135514003,0,0
"LnCaP_DKO_Enza_R3","PDX_longitudinal",186.334255894414,3.53488441482299,3.36986063274564,0,0
"LnCaP_DKO_PreCX_R1","PDX_longitudinal",183.529033445677,3.71966150352973,3.50544774317274,0,1.24460518268559
"LnCaP_DKO_PreCX_R2","PDX_longitudinal",183.170724121349,2.94733971820916,2.87625704292297,0,0
"LnCaP_DKO_PreCX_R3","PDX_longitudinal",184.609081613674,4.21738913932432,3.92760624191894,0,1.61108559100687
"LUCAP_CX_147_Xeno_R1","PDX_longitudinal",198.410731896706,6.43423916850604,6.40261232920077,0,0
"LUCAP_CX_147_Xeno_R2","PDX_longitudinal",198.410731896706,6.32429619801724,6.27828911735847,0,0
"LUCAP_CX_147_Xeno_R3","PDX_longitudinal",199.841603496297,6.17582581952653,6.16715627933826,0,0
