id	filename	md5	size	state
85a5630d-6eca-4155-bf47-28443a59da4d	7fab5e1f-a8c7-4771-b0f3-b2d559b2c5c4.rna_seq.genomic.gdc_realn.bam	f22a4f736b3025cb9dad1069b89604b7	4392183200	released
7931c3ae-6672-4e56-8b1f-ce4b4b648738	c40317c8-5650-4a94-96fa-fb9773b47351.rna_seq.genomic.gdc_realn.bam	7948754ab56785e4d8bcd6c4722ff382	4404046594	released
f22f7095-7045-4205-b594-194b6e5ce70d	1e26c654-ff42-4201-ab49-17925ee1c4f7.rna_seq.genomic.gdc_realn.bam	8b33620e980169f47183ae7a19e95e58	4040589630	released
a834c90f-3bc6-4aac-b492-de73ef96b8eb	3bc4a524-f9f6-4298-926b-ecb5a736ad92.rna_seq.genomic.gdc_realn.bam	f9a220007bf03b6c5de7e4c8730a1d0e	2736042560	released
14a3db42-544d-421e-8564-722f643a55e4	22a350f7-b7c5-450f-8f9f-ed5aba7c55d2.rna_seq.genomic.gdc_realn.bam	57946612e3372a5d2cf3d955f04cf002	12083435358	released
cbbc0aaa-9239-4306-84be-7ff4d75b43c3	fa6ed903-5e08-4f0a-9088-23a4e1e093eb.rna_seq.genomic.gdc_realn.bam	16c3f67e033c36c7ee707904cf6d6121	4135898339	released
bc32747d-1dc7-4ab5-92bb-f30c4725e2c0	059151b7-975a-4e52-8abd-e769881b1317.rna_seq.genomic.gdc_realn.bam	28d6175c44564200977513ce13756bd4	5178073435	released
9dc77173-dba3-4f69-8c87-57f3c3aff6ca	6550dd0d-eb47-4abe-b966-d68185a3ac5f.rna_seq.genomic.gdc_realn.bam	d84b3dde22de10cc8a0ac0387be6fa80	3603526664	released
9fbb85f8-af28-4086-9d2c-c433edbdcd50	43fce01c-9037-42a2-8eae-f1efa18ace7f.rna_seq.genomic.gdc_realn.bam	82fb485dff2d63f8436b2867ff23a55e	3032454380	released
96419516-ccee-4c79-9a17-e43fabf8e3a8	43c94f01-479e-4381-b327-ac8a8410c925.rna_seq.genomic.gdc_realn.bam	4724f14d6044bb365153e8ceac491e6c	3200008876	released
2787d8ac-80e4-47c5-ae47-b180fa2b5c33	0a3a2309-bfd0-4bcb-906d-342ae0f7d643.rna_seq.genomic.gdc_realn.bam	60e396267545a31ff88e075501335dc6	3651333926	released
0244659d-bac6-4878-bb1a-f08967bc3417	4dd6b759-7f24-467d-a9f1-99c6cfaf6405.rna_seq.genomic.gdc_realn.bam	e8694ce50294e2166203a9b504f3776b	2875239530	released
8accac00-8dec-4157-9ddd-c4bd5138a961	1cd63ed8-b999-42fe-8848-17f197e9253a.rna_seq.genomic.gdc_realn.bam	9b53aee074edacd58079cea2c79b7af8	4817681574	released
f1ed3c46-6943-44df-8418-47763df66393	2a0392f3-ad07-4849-b2b8-0d97850e6de7.rna_seq.genomic.gdc_realn.bam	14874b1dd07bccbf265b82ca1d6aed34	3216018457	released
