"name","pseudotime"
"120508_UNC13-SN749_0172_AD101FACXX_GCCAAT_L002",77.7997629404334
"120508_UNC13-SN749_0172_AD101FACXX_GCCAAT_L007",60.3701994083572
"120508_UNC13-SN749_0172_AD101FACXX_TAGCTT_L004",34.6697629911582
"120514_UNC16-SN851_0158_AC0UWTACXX_ACTTGA_L003",76.4807748613971
"120514_UNC16-SN851_0158_AC0UWTACXX_GATCAG_L008",59.2235158967363
"120514_UNC16-SN851_0159_BC0TARACXX_CAGATC_L002",54.6502540660478
"120514_UNC16-SN851_0159_BC0TARACXX_CTTGTA_L003",65.3434537167732
"120514_UNC16-SN851_0159_BC0TARACXX_TAGCTT_L006",32.5775148870442
"120521_UNC12-SN629_0212_AC0RWNACXX_CAGATC_L004",81.2987156417498
"120521_UNC12-SN629_0212_AC0RWNACXX_CTTGTA_L001",81.1516189754647
"120529_UNC16-SN851_0165_BC0UMTACXX_CTTGTA_L002",68.3904700395631
"120529_UNC16-SN851_0165_BC0UMTACXX_TAGCTT_L006",84.1508065303912
"120605_UNC11-SN627_0237_AD11WMACXX_ACAGTG_L008",30.6708949212288
"120814_UNC12-SN629_0220_AD13JAACXX_CAGATC_L007",75.1627404482789
"120814_UNC12-SN629_0220_AD13JAACXX_CGATGT_L002",72.7594739428845
"120814_UNC12-SN629_0220_AD13JAACXX_CTTGTA_L001",35.5804837743839
"120814_UNC12-SN629_0220_AD13JAACXX_GGCTAC_L007",55.4991298149238
"120815_UNC16-SN851_0177_BD13LJACXX_ACAGTG_L006",69.0524684809886
"120815_UNC16-SN851_0177_BD13LJACXX_AGTTCC_L005",67.513974289705
"120815_UNC16-SN851_0177_BD13LJACXX_CAGATC_L005",71.7618628367851
"130221_UNC9-SN296_0338_BC1PYCACXX_ACAGTG_L008",112.08030541107
"130221_UNC9-SN296_0338_BC1PYCACXX_TGACCA_L008",79.3517105722898
"130226_UNC12-SN629_0260_AC1PTLACXX_CGATGT_L003",65.9979170704388
"130226_UNC14-SN744_0315_AD1V5TACXX_ACAGTG_L007",79.7309654187298
"130226_UNC14-SN744_0315_AD1V5TACXX_ACTTGA_L004",81.4532888825061
"130226_UNC14-SN744_0315_AD1V5TACXX_CGATGT_L005",79.4813812036577
"130226_UNC14-SN744_0315_AD1V5TACXX_TGACCA_L006",86.6870155547554
"130226_UNC14-SN744_0315_AD1V5TACXX_TTAGGC_L005",118.706486741468
"140318_UNC12-SN629_0354_AC3K7VACXX_AGTCAA_L002",49.364456780139
"140318_UNC12-SN629_0354_AC3K7VACXX_CCGTCC_L004",62.2884322793303
"111208_UNC10-SN254_0313_BD087RACXX_ACTTGA_L002",80.7290109741881
"111208_UNC10-SN254_0313_BD087RACXX_ACTTGA_L004",113.688469320243
"111212_UNC15-SN850_0155_AD087AACXX_ACTTGA_L003",126.640839009933
"111212_UNC15-SN850_0155_AD087AACXX_ACTTGA_L004",91.3171901337921
"111212_UNC15-SN850_0155_AD087AACXX_ACTTGA_L005",91.8964384256102
"111212_UNC15-SN850_0156_BD0KGCACXX_ACTTGA_L001",87.025299377365
"111212_UNC15-SN850_0156_BD0KGCACXX_ACTTGA_L003",130.49034061002
"111212_UNC15-SN850_0156_BD0KGCACXX_ACTTGA_L008",109.159029962102
